Huge Problems 2 (problems without solution only)
VariableCount,ConstraintCount,MaxSummand
50000,25000,50
ExecTimeAlg1,ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg1,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
193387,655349,94544,164353,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
219132,111176,94480,164555,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
313923,116442,94442,164616,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
789344,602102,94352,164134,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
865119,18139,94592,164575,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
678461,547391,94774,164848,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
573137,773546,94384,163910,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
802218,306609,94562,164524,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
248974,881795,94574,164419,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
830304,65535,94450,164687,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
756869,710351,94409,164149,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
141603,819186,94486,164330,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
309828,1264472,94376,164335,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
1006428,757747,94514,164537,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
377411,57636,94587,164455,-1,-1,-1,-1,-1,-1,-1,-1,[-1=2]
