Huge Problems 4 (Alg2 only) (problems without solution only, ALG2_ONLY)
VariableCount,ConstraintCount,MaxSummand
75000,75000,50
ExecTimeAlg2,GVertexCount,GEdgeCount,HVertexCount,HEdgeCount,RVertexCount,REdgeCount,VertexIncrementsAlg2,MaxComponentSize,MeanComponentSize,AllComponentSizes
1371844,243425,512055,-1,-1,-1,-1,-1,-1,-1,[-1=1]
47428947460,242753,510976,235247,493531,57284,124776,1379782,1535,1,[1=55733/3=2/5=2/1535=1]
2906355,243009,510973,-1,-1,-1,-1,-1,-1,-1,[-1=1]
46812308680,242922,511514,235361,494001,57186,124623,1873448,1924,1,[1=55247/2=1/13=1/1924=1]
39772509403,242844,511719,235402,494372,57265,124822,3287791,2578,1,[1=54687/2578=1]
2072833,243697,512667,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1062601,243090,510881,-1,-1,-1,-1,-1,-1,-1,[-1=1]
657689,243469,511858,-1,-1,-1,-1,-1,-1,-1,[-1=1]
35968180473,243185,511444,235685,494040,57259,124756,3683304,2073,1,[1=55160/3=1/23=1/2073=1]
44661648372,242984,510953,235285,493050,57121,124421,1548942,1964,1,[1=55157/1964=1]
32661836199,243353,510505,235956,493382,57670,125270,682740,1199,1,[1=56450/4=1/5=1/12=1/1199=1]
2044162,243048,510478,-1,-1,-1,-1,-1,-1,-1,[-1=1]
30068732049,243099,511989,235643,494684,57283,124824,40137,2336,1,[1=54934/3=1/10=1/2336=1]
2180206,243020,510977,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2636608,243335,512055,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2009932,243216,511435,-1,-1,-1,-1,-1,-1,-1,[-1=1]
702744,243293,511552,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1853701,243207,511833,-1,-1,-1,-1,-1,-1,-1,[-1=1]
2567270,243151,510471,-1,-1,-1,-1,-1,-1,-1,[-1=1]
36142348203,243074,510590,235397,492841,57241,124561,43838,1866,1,[1=55364/2=1/9=1/1866=1]
47954285616,243060,512265,235555,494824,57142,124635,4538550,2157,1,[1=54985/2157=1]
800754,243156,511451,-1,-1,-1,-1,-1,-1,-1,[-1=1]
4714416,242966,510383,-1,-1,-1,-1,-1,-1,-1,[-1=1]
41611249414,243065,510580,235660,493448,57495,125089,47370,1295,1,[1=56194/2=1/4=1/1295=1]
34176890060,243027,510005,235526,492591,57506,125004,1440440,1887,1,[1=55619/1887=1]
2060545,243036,511463,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1233460,243352,511729,-1,-1,-1,-1,-1,-1,-1,[-1=1]
50206220723,242589,510185,235121,492802,57365,124895,5822674,2896,1,[1=54466/3=1/2896=1]
48214989232,243075,511124,235696,493990,57460,125080,3298215,1827,1,[1=55633/1827=1]
1367163,243161,512372,-1,-1,-1,-1,-1,-1,-1,[-1=1]
724102,243079,511099,-1,-1,-1,-1,-1,-1,-1,[-1=1]
34135038430,243435,512205,236003,494953,57404,124971,46128,1508,1,[1=55880/3=1/13=1/1508=1]
2624614,243296,512413,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1294606,242996,511057,-1,-1,-1,-1,-1,-1,-1,[-1=1]
192801,243062,511139,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1852824,243353,511297,-1,-1,-1,-1,-1,-1,-1,[-1=1]
225276,243344,511216,-1,-1,-1,-1,-1,-1,-1,[-1=1]
4945836,243212,511291,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1161782,243139,510998,-1,-1,-1,-1,-1,-1,-1,[-1=1]
3170542,242716,510644,-1,-1,-1,-1,-1,-1,-1,[-1=1]
32411245728,243170,511033,235665,493641,57323,124817,33554,1562,1,[1=55694/2=3/3=1/6=1/25=1/27=1/1562=1]
2784063,243148,511849,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1235215,242939,511015,-1,-1,-1,-1,-1,-1,-1,[-1=1]
34738806335,243440,511611,236018,494373,57472,125049,41358,2094,1,[1=55376/2=1/2094=1]
3707109,242994,511395,-1,-1,-1,-1,-1,-1,-1,[-1=1]
5217045,243322,511695,-1,-1,-1,-1,-1,-1,-1,[-1=1]
45478559414,243351,511480,235730,493798,57247,124625,1746575,1306,1,[1=55933/8=1/1306=1]
879747,243315,511921,-1,-1,-1,-1,-1,-1,-1,[-1=1]
1358093,243305,511270,-1,-1,-1,-1,-1,-1,-1,[-1=1]
35964860137,243267,511451,235788,494128,57383,124899,1545895,1513,1,[1=55863/7=1/1513=1]
